"","var1","var2","correlation.x","correlation.y"
"1","age","female",0.00653726410300472,0.00645996347450114
"2","age","black",-0.133053462410944,-0.114168954724814
"3","age","place",0.216466388320657,0.227122075427894
"4","age","insurance",0.144663000481227,0.15103955954503
"5","age","povertyratio",0.177688700931138,0.166545937981978
"6","age","systolicbp",0.359235630203051,0.350288987360314
"7","age","diastolicbp",0.10026803015711,0.0960433539699014
"8","age","poor",-0.122974186225518,-0.105180557961724
"9","age","educationL12",0.00220388899502324,0.00165731641169687
"10","age","rented",-0.308451354581334,-0.268763599905361
"11","age","notemployed",0.0386286073766637,0.0184556058750392
"12","age","crowded",-0.122533581319,-0.0922120744680936
"13","age","singlefamily",-0.185533524368,-0.161948877862824
"14","age","visits",0.105702713067273,0.100465492711849
"15","female","age",0.00653726410300472,0.00645996347450114
"16","female","black",0.00917798469078264,0.00449150676386565
"17","female","place",0.165758902146787,0.11799987905138
"18","female","insurance",0.0688327577944366,0.0356983371716049
"19","female","povertyratio",-0.0389317922341733,-0.0289737411252353
"20","female","systolicbp",-0.163524830595108,-0.128679469684965
"21","female","diastolicbp",-0.135653919876988,-0.107139049762695
"22","female","poor",0.0366530985818781,0.0165301873766902
"23","female","educationL12",-0.0522909913985474,-0.0231301021860804
"24","female","rented",-0.018527040027085,-0.0116651947571777
"25","female","notemployed",0.0196931856345229,0.00732937263622531
"26","female","crowded",0.00103010365349687,-0.000720264746230103
"27","female","singlefamily",0.131745146797702,0.106501401008464
"28","female","visits",0.164364843822396,0.126026840351022
"29","black","age",-0.133053462410944,-0.114168954724814
"30","black","place",-0.052414923987284,-0.0234763203992301
"31","black","insurance",-0.137152131456359,-0.086479472235942
"32","black","povertyratio",-0.228090244580422,-0.1913200497479
"33","black","systolicbp",0.0639785448385288,0.0408465849010316
"34","black","diastolicbp",0.0136959373635215,0.00797742197560225
"35","black","poor",0.185007238283902,0.163268529818199
"36","black","educationL12",0.0902222591814029,0.0783736742176349
"37","black","rented",0.2364030433387,0.211893145429797
"38","black","notemployed",0.0550696013292295,0.0204048191287543
"39","black","crowded",0.133580230634015,0.0995158902263675
"40","black","singlefamily",0.1964282677947,0.164039822352218
"41","black","visits",-0.076044847389066,-0.0464607589468297
"42","place","female",0.165758902146787,0.11799987905138
"43","place","black",-0.052414923987284,-0.0234763203992301
"44","place","insurance",0.249448069370147,0.244844772888466
"45","place","povertyratio",0.138891094751378,0.0907439231308607
"46","place","systolicbp",0.00209352804509822,0.00152280493534582
"47","place","diastolicbp",-0.00890065127163002,-0.00797321500548916
"48","place","poor",-0.0651417536284545,-0.0280130892556162
"49","place","educationL12",-0.0906080595473697,-0.0809745560201565
"50","place","rented",-0.122733028648911,-0.12438160717963
"51","place","notemployed",-0.0148677037323415,-0.00442544626384241
"52","place","crowded",-0.0520486312383748,-0.0158488432444742
"53","place","singlefamily",-0.0194330914255976,-0.00828125501547942
"54","place","visits",0.213451441669169,0.256573710592493
"55","insurance","place",0.249448069370147,0.244844772888466
"56","insurance","povertyratio",0.286527747678851,0.163831544522779
"57","insurance","systolicbp",-0.0147476222589911,-0.0106341489386418
"58","insurance","diastolicbp",-0.00126541237253476,-0.00199291177800342
"59","insurance","poor",-0.19995904996832,-0.16942870150747
"60","insurance","educationL12",-0.148299651065044,-0.10457433531782
"61","insurance","rented",-0.153862194905277,-0.132222017265135
"62","insurance","notemployed",-0.0508608415816966,-0.0182199132841524
"63","insurance","crowded",-0.101314141140075,-0.0665584121639213
"64","insurance","singlefamily",-0.0632110936398409,-0.0250937328878138
"65","insurance","visits",0.163073467486179,0.154788637291216
"66","povertyratio","systolicbp",-0.0197078363665031,-0.0196131767288685
"67","povertyratio","diastolicbp",0.0580171368706418,0.054503662392296
"68","povertyratio","poor",-0.581652899596282,-0.421897654861259
"69","povertyratio","educationL12",-0.257021569624692,-0.215397344260012
"70","povertyratio","rented",-0.360448913169824,-0.356075745039094
"71","povertyratio","notemployed",-0.276552979146272,-0.20541775000779
"72","povertyratio","crowded",-0.221567489366731,-0.150128122627685
"73","povertyratio","singlefamily",-0.203624603687395,-0.182547019182205
"74","povertyratio","visits",0.00659996829521362,0.00601671028463666
